Day,Water,Breakfast,Lunch,Dinner,Yoga,Workout,Reading,Elevate,French,Drawing,Programming,Work
1,1,2,0,2,0,0,0,2,2,0,0,0
2,1,2,2,0,0,0,0,2,2,0,2,2
3,1,2,2,2,1,2,0,2,2,0,0,2
4,2,2,2,2,0,0,0,2,2,2,0,2
5,2,2,2,2,0,2,0,2,2,2,0,2
6,2,2,2,2,2,2,0,2,2,1,0,1
7,1,2,2,1,0,0,0,2,2,2,0,2
8,1,2,2,1,0,2,0,2,2,0,2,2
9,1,2,2,2,0,0,0,2,2,0,0,2
10,1,2,2,2,0,0,0,2,2,2,0,2
11,2,2,2,2,0,2,0,2,2,0,2,2
12,2,2,2,2,2,0,2,2,2,0,2,2
13,1,2,2,1,0,0,0,2,2,0,0,2
14,2,2,2,1,0,2,0,2,2,0,2,2
15,1,2,2,1,0,0,0,2,2,0,2,2
16,2,1,2,2,0,0,0,0,0,0,0,2
17,1,2,0,2,2,2,0,2,2,0,0,2
18,2,2,2,2,1,0,0,2,2,0,2,2
19,1,2,2,1,1,0,0,2,2,0,0,2
20,1,2,2,2,0,2,0,2,2,0,0,1
21,1,2,0,2,0,0,0,2,2,0,2,0
22,0,2,0,2,0,2,0,2,2,0,0,0
23,1,2,2,1,0,0,0,2,2,0,0,0
24,1,2,0,2,0,0,0,2,2,0,0,1
25,1,2,0,2,0,2,0,0,2,1,0,1
26,1,2,1,2,0,0,0,2,2,2,0,2
27,0,2,2,2,0,0,0,2,2,0,0,1
28,0,2,2,2,1,0,0,2,2,0,0,2
