Day,Lemon Water,Breakfast,Lunch,Dinner,Yoga,Workout,Music,Reading,Elevate,French,Drawing,1.5L Water
1,2,2,2,2,0,1,2,0,2,0,0,2
2,2,2,2,2,0,2,0,0,2,0,0,2
3,2,2,2,2,0,0,0,0,0,0,0,2
4,0,2,2,2,2,1,0,2,2,0,0,2
5,0,2,2,2,2,2,0,0,2,0,0,2
6,0,2,0,2,2,0,0,2,2,0,0,2
7,2,2,2,2,0,1,0,0,2,0,0,1
8,0,2,2,2,2,0,0,0,0,0,0,2
9,0,2,2,1,0,0,0,0,0,0,0,0
10,2,2,2,1,2,2,0,0,0,0,0,1
11,2,2,2,1,0,0,0,0,0,0,2,2
12,2,2,2,1,0,0,0,2,2,2,2,1
13,2,2,2,2,1,2,0,2,2,2,0,2
14,0,2,2,2,0,0,0,0,2,2,0,1
15,2,2,2,2,2,0,0,0,2,2,0,1
16,0,2,2,2,0,0,0,0,2,0,0,1
17,0,2,2,2,0,1,0,0,2,2,0,1
18,0,2,1,2,1,1,0,0,0,0,0,1
19,2,2,1,2,0,1,0,0,2,2,0,2
20,2,2,2,2,2,0,0,0,2,2,0,2
21,0,2,2,2,1,0,0,0,2,2,0,2
22,0,2,0,2,2,0,0,0,2,2,0,1
23,0,2,2,0,2,0,0,0,2,2,0,0
24,0,2,2,1,1,0,0,2,2,2,0,0
25,0,2,2,1,1,0,0,0,2,2,0,1
26,0,2,0,2,1,0,0,0,0,0,0,0
27,0,2,2,2,2,0,0,0,2,2,0,1
28,0,2,2,2,0,0,0,0,2,2,0,0
29,0,2,2,0,1,0,0,0,2,2,0,1
30,0,2,2,2,2,0,0,0,2,2,0,0
31,0,2,2,2,0,0,0,0,2,2,0,1
